ID,Homesapp,Easybroker,Tokko,Disponible,Zona,Condominio,Piso,Tipo,Unidad,Recámaras ,Baños, 6 meses, 12 meses,Comision,Disponibilidad,Plazo Minimo,PetF,Subarriendo,Ficha,Check In,Check out,Especiales,Info General,Tour Virtual,Ubicacion,Drive,Luz,Agua,Internet,HOA,Gas
358,FALSE,TRUE,FALSE,Baja de listing,Aldea Zama,Agua de mar ,PenThouse,PentHouse,308,2,2," $ 25,000 "," $ 25,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,sale del listing,,,Falta tour,,,TRUE,FALSE,FALSE,TRUE,FALSE
122,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Arba I,Planta baja,Departamento,101-102-103,2,2,," $ 40,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,exclusiv otra agencia,,https://kuula.co/post/n1/collection/7XzhY,https://maps.app.goo.gl/mPyGGKjp4DaY7AZ26,https://drive.google.com/drive/folders/1ZhVFppYI15QtPRcCAaLTE72M1OQnD_1n?usp=drive_link,FALSE,FALSE,FALSE,TRUE,FALSE
160,FALSE,TRUE,FALSE,Baja de listing,Aldea Zama,Arba I,Primer Piso,Departamento,201-202-203,2,2,," $ 40,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,exclusiv otra agencia,,https://kuula.co/post/n1/collection/7Xzhv,,,FALSE,FALSE,FALSE,TRUE,FALSE
161,FALSE,TRUE,FALSE,Baja de listing,Aldea Zama,Arba I,PenThouse,PentHouse,301-302-303,2,2,," $ 40,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,exclusiv otra agencia,,https://kuula.co/post/n1/collection/7Xzkn,,,FALSE,FALSE,FALSE,FALSE,FALSE
114,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Arba II,,Departamento,-,2,2,," $ 45,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,exclusiv otra agencia,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
714,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Casa Chacah,Planta baja,Casa,,3,3," $ 65,000 "," $ 65,000 ",Compartido 50%,Inmediata,6/12 meses,Si,,,,baja del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
611,FALSE,TRUE,FALSE,Baja de listing,Aldea Zama,Casa Jaax,Planta baja,Casa,,4,4," $ 80,000 "," $ 80,000 ",Compartido 50%,Inmediata,6/12 meses,No,No acepta,,,baja del listing,,,Falta tour,https://maps.app.goo.gl/nR9PJsBG29ZBjUNy7,https://drive.google.com/drive/folders/193NcdydrDhkTfrjH9n4KMvU2QEOFqLIh,FALSE,FALSE,FALSE,TRUE,FALSE
810,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Coati,Primer Piso,Departamento,201,3,3," $ 32,000 "," $ 32,000 ",Compartido 50%,Inmediata,6/12 meses,Si,,,,baja del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
713,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Estela Tulum,PenThouse,PentHouse,(sin muebles),2,2.5," $ 25,000 "," $ 25,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
746,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Estela Tulum,Planta baja,Departamento,,,1," $ 16,000 "," $ 16,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
750,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Estela Tulum,Planta baja,Departamento,D101 (sin muebles),2,2," $ 14,000 "," $ 14,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
751,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Estela Tulum,Primer Piso,Departamento,B302 (sin muebles),1,1," $ 12,000 "," $ 12,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
749,FALSE,TRUE,TRUE,Baja de listing,Aldea Zama,Zama Tower,,Departamento,B109,2,2," $ 25,000 "," $ 25,000 ",Referido 20%,Inmediata,6/12 meses,No,,,,se baja del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
324,FALSE,TRUE,TRUE,Baja de listing,Av coba,Edena by TAO,Planta baja,Casa,2,3,3," $ 28,000 "," $ 28,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,solo quiere vender,,Falta tour,,,TRUE,FALSE,FALSE,TRUE,FALSE
397,FALSE,TRUE,FALSE,Baja de listing,Av coba,Edena by Tao,Planta baja,Casa,112,2,2," $ 29,000 "," $ 29,000 ",Completa,Inmediata,6/12 meses,Si,Acepta,,,baja de listing,,,Falta tour,https://maps.app.goo.gl/Wc8vvZzbZq6qandJA,https://drive.google.com/drive/u/3/folders/1-3JTqyHmrlIcMcLoYXVdBmaAFFpn9TDr,FALSE,FALSE,FALSE,FALSE,FALSE
437,FALSE,TRUE,TRUE,Baja de listing,Av coba,Edena by Tao,Planta baja,Casa,112,2,2," $ 29,000 "," $ 29,000 ",Completa,Inmediata,6/12 meses,Si,Acepta,,,,,,Falta tour,https://maps.app.goo.gl/LYV8c9i3Kxd8jH4WA,https://drive.google.com/drive/u/3/folders/1-3JTqyHmrlIcMcLoYXVdBmaAFFpn9TDr,FALSE,FALSE,FALSE,TRUE,FALSE
871,FALSE,TRUE,TRUE,Baja de listing,Holistika,Villa Guacamaya,Planta baja,Villa,,3,3.5," $ 60,000 "," $ 60,000 ",Referido 20%,Inmediata,6/12 meses,Si,,,,17/6/2026,baja del listing,,Falta tour,,,,,,,
132,FALSE,TRUE,FALSE,Baja de listing,Kukulkan,Adora,Primer Piso,Studio,H8,0,1,," $ 18,000 ",Referido 20%,Fecha a consultar,6/12 meses,Si,No acepta,,,baja del listing,,sin muebles,Falta tour,https://maps.app.goo.gl/vDQmKojEWue8TFhC7,,FALSE,TRUE,FALSE,TRUE,FALSE
671,FALSE,TRUE,TRUE,Baja de listing,Kukulkan,Adora,Primer Piso,Studio,#304,0,1," $ 17,000 "," $ 16,000 ",Referido 20%,Inmediata,6/12 meses,,,,,fuera del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
239,FALSE,FALSE,FALSE,Baja de listing,Kukulkan,Naia,Segundo Piso,Studio,314,0,1,," $ 17,000 ",Referido 10%,Inmediata,Vacacional,Si,No acepta,,,sale del listing,,,Falta tour,,,TRUE,FALSE,FALSE,TRUE,FALSE
366,FALSE,TRUE,FALSE,Baja de listing,Kukulkan,NaiaTulum,Tercer Piso,Studio,C33,0,2," $ 14,000 ", $ -   ,Completa,Inmediata,6 meses,No,No acepta,,,sale del listing,,,Falta tour,NAIA Tulum,C33,FALSE,FALSE,FALSE,TRUE,FALSE
768,FALSE,TRUE,TRUE,Baja de listing,Kukulkan,Noil Villas,Planta baja,Casa,2D,3,3," $ 35,000 "," $ 35,000 ",Referido 20%,Inmediata,6/12 meses,Si,,,,se baja del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
704,FALSE,TRUE,TRUE,Baja de listing,La Veleta,Casa Purusha,Planta baja,Casa,,4,3," $ 68,000 "," $ 68,000 ",Referido 10%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
260,FALSE,FALSE,FALSE,Baja de listing,La Veleta,Condos Ocho,Segundo Piso,Departamento,A3,1,1," $ 17,000 "," $ 16,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,"vendido, sale del listing",,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
157,FALSE,TRUE,TRUE,Baja de listing,La Veleta,Gautama,Planta baja,Departamento,,2,2," $ 23,000 "," $ 23,000 ",Referido 10%,Fecha a consultar,6/12 meses,Si,No acepta,,,,baja de listing,,Falta tour,,,TRUE,TRUE,TRUE,TRUE,TRUE
395,FALSE,TRUE,FALSE,Baja de listing,La Veleta,Rosa de Piedra,Primer Piso,Departamento,3,1,1," $ 11,500 "," $ 11,500 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,la.dueña nomtiene los papeles,,baja de listing,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
453,FALSE,TRUE,FALSE,Baja de listing,La Veleta,Seremonia Selva,Primer Piso,Studio,404,0,1," $ 12,000 "," $ 11,000 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,baja de listing,,Falta tour,https://maps.app.goo.gl/F5iqFiMjF1cwESBF6,https://drive.google.com/drive/folders/1E3Ge1CJUH3wAs-T9294-kijelWD2af0D?hl=es,FALSE,FALSE,FALSE,FALSE,FALSE
757,FALSE,TRUE,FALSE,Baja de listing,La Veleta,Villa Cielo Tulum,Planta baja,Villa,,4,4,,,Referido 20%,Inmediata,6/12 meses,,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
866,TRUE,TRUE,TRUE,Baja de listing,La Veleta,Xamira,Segundo Piso,Studio,36,0,1," $ 13,500 "," $ 13,500 ",Completa,Inmediata,6/12 meses,Consultar,No acepta,,,,exclusiv otra agencia,,Falta tour,,,,,,,
716,FALSE,TRUE,TRUE,Baja de listing,Region 15,AAK,Planta baja,Departamento,L1,2,2," $ 20,000 "," $ 20,000 ",Compartido 50%,Inmediata,6/12 meses,Si,,,,baja del listing,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
904,TRUE,TRUE,TRUE,Baja de listing,Region 15,Mistiq Villas,Planta baja,Villa,16,3,3.5," $ 40,000 "," $ 40,000 ",Referido 20%,Inmediata,6/12 meses,,,,,,,,Falta tour,,,,,,,
702,FALSE,TRUE,TRUE,Baja de listing,Region 15,Solemn ,Primer Piso,Departamento,105,2,2," $ 16,000 "," $ 16,000 ",Referido 20%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
921,TRUE,TRUE,TRUE,Baja de listing,Tumben kaa,Villaggio Montorso,Planta baja,Casa,#2,4,2," $ 30,000 "," $ 30,000 ",Referido 20%,Inmediata,6/12 meses,,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
X,FALSE,TRUE,TRUE,Baja de listing,Zona hotelera ,Casa Amor,,Villa,,8,8," $ 200,000 "," $ 200,000 ",Completa,Inmediata,6/12 meses,Si,,,fuera del listing,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
841,FALSE,TRUE,TRUE,Disponible,Akumal,Santamar by tao,PenThouse,PentHouse,A307,2,2," $ 30,000 "," $ 30,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
680,FALSE,TRUE,TRUE,Disponible,Akumal,Siete Gotas,Planta baja,Departamento,,3,2," $ 50,000 "," $ 50,000 ",Referido 20%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
927,TRUE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea F2 ,,Departamento,201,2,1," $ 8,500 "," $ 8,500 ",Referido 10%,Inmediata,6/12 meses,,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
93,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,,Departamento,13,2,1," $ 10,000 "," $ 10,000 ",Completa,Inmediata,12 meses,Si,No acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
259,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Tercer Piso,Departamento,17,2,1," $ 11,000 "," $ 9,950 ",Referido 10%,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
415,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Tercer Piso,Departamento,304,2,1," $ 10,000 "," $ 9,500 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,"https://www.google.com.mx/maps/place/Manzana+30/@20.1949653,-87.5308023,20.37z/data=!4m6!3m5!1s0x8f4fd74ae993a475:0xf6b35b3341a245be!8m2!3d20.1947941!4d-87.530848!16s%2Fg%2F11q9sqn6cg?entry=tts&shorturl=1",https://drive.google.com/drive/u/3/folders/1LcGESgdi2LEo3XEKuLXRLvP-XyK-hS8x,FALSE,FALSE,TRUE,TRUE,FALSE
623,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Primer Piso,Departamento,201,2,1," $ 8,000 "," $ 8,000 ",Completa,Inmediata,6/12 meses,Si,Acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
665,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Primer Piso,Departamento,Fer,2,1," $ 9,000 ",,Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
677,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Segundo Piso,Departamento,,2,1," $ 10,000 "," $ 10,000 ",Completa,Inmediata,6/12 meses,,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
697,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Tercer Piso,Departamento,P-404,2,1," $ 10,000 "," $ 10,000 ",Referido 10%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
728,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Primer Piso,Departamento,casa Baax al,2,1," $ 10,000 "," $ 10,000 ",Referido 10%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
736,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Planta baja,Departamento,(sin muebles),2,1," $ 6,000 "," $ 6,000 ",Completa,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
847,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Planta baja,Departamento,B2 - 101,2,1," $ 12,500 "," $ 12,500 ",Completa,Inmediata,6/12 meses,No,,,,,,,Falta tour,,,,,,,
853,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum,Primer Piso,Departamento,Mz 8 Lt1 #50,2,1," $ 9,000 "," $ 9,000 ",Referido 10%,Inmediata,6/12 meses,Consultar,,,,,,,Falta tour,,,,,,,
307,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea tulum ,Segundo Piso,Departamento,203,2,1," $ 10,000 "," $ 10,000 ",Referido 10%,Inmediata,12 meses,Si,No acepta,,,,,,Falta tour,C. Perla 10,Aldea Tulum 203,FALSE,FALSE,FALSE,TRUE,FALSE
373,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum ,Planta baja,Departamento,7,2,1," $ 10,500 "," $ 10,500 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
696,FALSE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum Plus,Tercer Piso,Departamento,T1 3B,2,1," $ 13,000 "," $ 13,000 ",Referido 10%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,FALSE,FALSE
905,TRUE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum Plus,Segundo Piso,Departamento,T24 3B,2,1," $ 12,000 "," $ 12,000 ",Referido 10%,Inmediata,6/12 meses,Consultar,,,,,,,Falta tour,,,,,,,
868,TRUE,TRUE,TRUE,Disponible,Aldea Tulum,Aldea Tulum Plus ,Tercer Piso,Departamento,T49 4A,2,1," $ 11,500 "," $ 11,500 ",Referido 10%,Inmediata,6/12 meses,Si,,,,,,,Falta tour,,,,,,,
151,FALSE,FALSE,FALSE,Disponible,Aldea Tulum,Mza 24 lt1 uc2 C. 302 J2,Primer Piso,Departamento,,2,1, $ -   ," $ 12,000 ",Referido 10%,Inmediata,12 meses,Si,No acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
525,FALSE,TRUE,TRUE,Disponible,Aldea Zama,Aguasanta,Planta baja,Departamento,1,2,2," $ 25,000 "," $ 25,000 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,https://maps.app.goo.gl/NC6szCd2LdE8e6VXA,https://drive.google.com/drive/folders/1TeQbITAc14HCB-ZTY71Kx6YycuZCjWY7,FALSE,FALSE,FALSE,FALSE,FALSE
391,FALSE,TRUE,TRUE,Disponible,Aldea Zama,Akua Tulum,Primer Piso,Studio,18,0,1," $ 16,000 "," $ 15,000 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,,https://drive.google.com/drive/folders/12eS0uCiP_hXAcMs08S77stuTtNyHvtz6?usp=sharing,FALSE,FALSE,FALSE,FALSE,FALSE
439,FALSE,TRUE,TRUE,Disponible,Aldea Zama,Akua Tulum,Primer Piso,Studio,13,0,1," $ 10,000 "," $ 10,000 ",Completa,Inmediata,6/12 meses,No,No acepta,,,,,up,https://kuula.co/post/n1/collection/7KqJ3,https://maps.app.goo.gl/3JgKkkf2VsSvKb1p7,https://drive.google.com/drive/folders/1IzDb0dgjUDb6SAQZOStVi5Re97eCv_Li?hl=es,FALSE,TRUE,TRUE,TRUE,TRUE
867,TRUE,TRUE,TRUE,Disponible,Aldea Zama,Amelia,Planta baja,Departamento,107,3,3," $ 70,000 "," $ 70,000 ",Referido 20%,Inmediata,6/12 meses,Consultar,,,,,,,Falta tour,,,,,,,
115,FALSE,TRUE,TRUE,Disponible,Aldea Zama,Amira central,Primer Piso,Departamento,104,1,1," $ 15,000 "," $ 15,000 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,https://maps.app.goo.gl/fscBBSsh7cM4x1tU7,https://drive.google.com/drive/folders/1WKxRrpaUJ_qvmWMLS1DI90Pcr-4WZOIc?usp=share_link,FALSE,FALSE,FALSE,TRUE,FALSE
255,FALSE,TRUE,TRUE,Disponible,Aldea Zama,Amira central,Segundo Piso,Departamento,202,1,1," $ 14,000 "," $ 14,000 ",Completa,Inmediata,6/12 meses,Si,No acepta,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
967,FALSE,FALSE,FALSE,Disponible,Aldea Zama,Anemona,Planta baja,Local Comercial,101,,," $ 15,000 "," $ 15,000 ",Completa,Inmediata,6/12 meses,,,,,,,,Falta tour,,,FALSE,FALSE,FALSE,TRUE,FALSE
